Cash Flow,,,,,,,
Date,Payee,Category,Account,Amount,Description,Cleared,
8/23/2020,Starting Balance,Starting Balance,Golden1 Checking,"$2,510.73",Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Starting Balance,Golden1 Savings,"$6,650.17",Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Starting Balance,Capital One Credit Card,"-$1,120.83",Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Starting Balance,Charles Schwab Checking,"$31,884.02",Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Starting Balance,Capital One Platinum,-$416.82,Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Starting Balance,Vanguard Roth (Tarron),"$25,010.23",Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Starting Balance,Vanguard Roth (Kami),"$9,333.36",Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Starting Balance,Vanguard Brokerage (Kami),$450.84,Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Starting Balance,Vanguard Brokerage (Experiment),"$5,937.77",Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Starting Balance,Vanguard Brokerage (House),"$29,241.32",Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Starting Balance,Alerus 401K Eide Bailly,"$14,877.86",Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Rent,N/A,-$705.00,Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Utilities,N/A,$22.97,Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Car Insurance,N/A,$154.74,Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Groceries/supplies,N/A,-$13.29,Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Car Repairs,N/A,$109.56,Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Fuel,N/A,$386.38,Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Clothing,N/A,$24.87,Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Medical,N/A,"$9,749.42",Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Car Payments,N/A,"$1,470.42",Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Six Month Savings,N/A,"$12,000.00",Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Holiday,N/A,$334.03,Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Trip,N/A,"$2,478.49",Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Housing Improvements,N/A,-$146.91,Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Retirement,N/A,$922.12,Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Big Purchases,N/A,$629.09,Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Dates,N/A,$15.65,Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Tarron's,N/A,$273.84,Starting Balance on app switchover,TRUE,
8/23/2020,Starting Balance,Kami's,N/A,$630.44,Starting Balance on app switchover,TRUE,
10/1/2020,Budget Allocation,Tithing,N/A,$435.61,Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Fast Offerings,N/A,$40.00,Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Rent,N/A,"$1,200.00",Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Groceries/supplies,N/A,$300.00,Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Subscriptions,N/A,$20.00,Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Utilities,N/A,$60.00,Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Car Repairs,N/A,$100.00,Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Car Insurance,N/A,$69.00,Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Fuel,N/A,$150.00,Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Medical,N/A,$420.00,Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Housing Improvements,N/A,$10.00,Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Car Payments,N/A,$200.00,Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Big Purchases,N/A,$10.00,Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Retirement,N/A,"$1,000.00",Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,House,N/A,"$1,600.00",Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Clothing,N/A,$10.00,Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Holiday,N/A,$15.00,Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Dates,N/A,$50.00,Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Trip,N/A,$150.00,Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Tarron's,N/A,$50.00,Automated Budget Allocation,TRUE,
10/1/2020,Budget Allocation,Kami's,N/A,$50.00,Automated Budget Allocation,TRUE,
8/24/2020,Eide Bailly,Income,Charles Schwab Checking,"$2,592.14",Payroll for Tarron,TRUE,
8/24/2020,Eide Bailly,Income,Alerus 401K Eide Bailly,$255.77,Payroll direct to 401k,TRUE,
